RoomID,Space Name,Sq. Footage,'Expense/Day',Building,Floor,X,Y
81,Meeting Room B314,3514.00,34.52,200.00,60.00,13.00,4.00
82,Meeting Room B315,2178.00,93.61,200.00,60.00,14.00,4.00
83,Meeting Room B316,2178.00,59.59,200.00,60.00,15.00,4.00
84,Meeting Room B317,462.00,38.36,200.00,60.00,8.00,1.00
85,Meeting Room B318,458.00,37.63,200.00,60.00,7.00,1.00
86,Meeting Room B319,479.00,8.03,200.00,60.00,6.00,1.00
87,Building B Registration Hall,10162.00,220.90,200.00,90.00,3.00,1.00
88,International Conference Room,321.00,14.96,0.00,90.00,2.00,6.00
89,Meeting Room B401,3111.00,19.69,200.00,90.00,4.00,6.00
90,Meeting Room B402,3105.00,106.08,200.00,90.00,5.00,6.00
91,Meeting Room B403,2182.00,157.05,200.00,90.00,6.00,6.00
92,Meeting Room B404,2182.00,79.73,200.00,90.00,7.00,6.00
93,Meeting Room B405,3476.00,57.30,200.00,90.00,7.50,6.00
94,Meeting Room B406,4002.00,144.39,200.00,90.00,8.00,6.00
95,Meeting Room B406A,1996.00,156.48,200.00,90.00,8.50,6.00
96,Meeting Room B406B,1994.00,56.85,200.00,90.00,9.00,6.00
97,Meeting Room B407,3514.00,48.84,200.00,90.00,9.50,6.00
98,Meeting Room B408,2178.00,128.41,200.00,90.00,10.00,6.00
99,Meeting Room B409,2178.00,82.75,200.00,90.00,11.00,6.00
100,Meeting Room B411,460.00,51.90,200.00,90.00,4.00,4.00
101,Authority Boardroom,1893.00,14333.93,200.00,90.00,3.00,10.00
102,Thomas Murphy Ballroom 1,8260.00,293.31,200.00,120.00,1.00,1.00
103,Thomas Murphy Ballroom 2,8568.00,288.25,200.00,120.00,2.00,1.00
104,Thomas Murphy Ballroom 3,8586.00,284.43,200.00,120.00,3.00,1.00
105,Thomas Murphy Ballroom 4,8260.00,295.94,200.00,120.00,4.00,1.00
106,Exhibit Hall C1,103000.00,2193.21,260.00,0.00,2.00,1.00
107,Exhibit Hall C2,106000.00,2483.27,260.00,0.00,3.00,1.00
108,Exhibit Hall C3,105500.00,2206.18,260.00,0.00,4.00,1.00
109,Exhibit Hall C4,91100.00,1923.31,260.00,0.00,5.00,1.00
110,Exhibit Hall Meeting Room C111,5138.00,84.10,260.00,0.00,2.00,8.00
111,Exhibit Hall Meeting Room C112,5833.00,92.82,260.00,0.00,2.00,6.00
112,Exhibit Hall Meeting Room C113,4622.00,76.43,260.00,0.00,2.00,4.00
113,Exhibit Hall Meeting Room C114,4138.00,68.63,260.00,0.00,2.00,2.00
114,Meeting Room C103,1360.00,6.66,260.00,0.00,1.00,9.00
115,Meeting Room C104,1164.00,29.07,260.00,0.00,1.00,8.00
116,Meeting Room C105,1781.00,27.09,260.00,0.00,1.00,7.00
117,Meeting Room C106,1779.00,83.15,260.00,0.00,1.00,6.00
118,Meeting Room C107,2391.00,37.85,260.00,0.00,1.00,5.00
119,Meeting Room C108,1779.00,58.80,260.00,0.00,1.00,4.00
120,Meeting Room C109,1719.00,83.70,260.00,0.00,1.00,3.00
121,Meeting Room C110,2328.00,38.71,260.00,0.00,1.00,2.00
122,Room C101 Auditorium,5163.00,119.15,260.00,0.00,1.00,12.00
123,Room C102 Auditorium,2420.00,45.27,260.00,0.00,2.00,11.00
124,Meeting Room C201,2342.00,50.40,260.00,30.00,1.00,7.00
125,Meeting Room C202,1610.00,124.52,260.00,30.00,1.00,6.00
126,Meeting Room C203,2105.00,465.15,260.00,30.00,1.00,5.00
127,Meeting Room C204,1610.00,247.87,260.00,30.00,1.00,4.00
128,Meeting Room C205,2344.00,393.86,260.00,30.00,1.00,3.00
129,Meeting Room C206,2614.00,112.86,260.00,30.00,1.00,1.00
130,Meeting Room C207,1592.00,254.76,260.00,30.00,2.00,1.00
131,Meeting Room C208,1430.00,157.87,260.00,30.00,3.00,1.00
132,Meeting Room C209,1488.00,136.02,260.00,30.00,4.00,1.00
133,Meeting Room C210,1430.00,78.65,260.00,30.00,5.00,1.00
134,Meeting Room C211,1430.00,75.98,260.00,30.00,6.00,1.00
135,Meeting Room C212,1488.00,51.94,260.00,30.00,7.00,1.00
136,Meeting Room C213,1430.00,32.14,260.00,30.00,8.00,1.00
137,Georgia Ballroom 1,7685.00,439.49,260.00,60.00,1.00,3.00
138,Georgia Ballroom 2,10378.00,626.76,260.00,60.00,1.00,2.00
139,Georgia Ballroom 3,7685.00,471.15,260.00,60.00,1.00,1.00
140,Meeting Room C301,2288.00,181.93,260.00,60.00,2.00,5.00
141,Meeting Room C302,3275.00,245.18,260.00,60.00,3.00,6.00
142,Meeting Room A308,940.00,25.89,0.00,60.00,9.50,4.00
143,Exhibit Hall BC,85300.00,1640.00,260.00,0.00,5.00,0.00
