<<<<<<< HEAD
RoomID,Name,DateIn,DateOut
16,Meeting Room A310,2015-03-30,2015-04-05
17,Meeting Room A311,2015-03-30,2015-04-05
18,Meeting Room A312,2015-03-30,2015-04-05
19,Meeting Room A313,2015-03-30,2015-04-05
20,Meeting Room A314,2015-03-30,2015-04-05
21,Meeting Room A315,2015-03-30,2015-04-05
22,Meeting Room A316,2015-03-30,2015-04-05
26,Meeting Room A401,2015-03-30,2015-04-05
27,Meeting Room A402,2015-03-30,2015-04-05
28,Meeting Room A403,2015-03-30,2015-04-05
29,Meeting Room A404,2015-03-30,2015-04-05
30,Meeting Room A405,2015-03-30,2015-04-05
31,Meeting Room A406,2015-03-30,2015-04-05
32,Meeting Room A407,2015-03-30,2015-04-05
33,Meeting Room A408,2015-03-30,2015-04-05
34,Meeting Room A409,2015-03-30,2015-04-05
35,Meeting Room A410,2015-03-30,2015-04-05
36,Meeting Room A411,2015-03-30,2015-04-05
37,Meeting Room A412,2015-03-30,2015-04-05
48,Meeting Room B201,2015-03-30,2015-04-05
49,Meeting Room B202,2015-03-30,2015-04-05
50,Meeting Room B203,2015-03-30,2015-04-05
51,Meeting Room B204,2015-03-30,2015-04-05
52,Meeting Room B205,2015-03-30,2015-04-05
53,Meeting Room B206,2015-03-30,2015-04-05
54,Meeting Room B207,2015-03-30,2015-04-05
55,Meeting Room B208,2015-03-30,2015-04-05
56,Meeting Room B209,2015-03-30,2015-04-05
57,Meeting Room B210,2015-03-30,2015-04-05
58,Meeting Room B211,2015-03-30,2015-04-05
59,Meeting Room B212,2015-03-30,2015-04-05
60,Meeting Room B213,2015-03-30,2015-04-05
61,Meeting Room B214,2015-03-30,2015-04-05
62,Meeting Room B215,2015-03-30,2015-04-05
63,Meeting Room B216,2015-03-30,2015-04-05
64,Meeting Room B217,2015-03-30,2015-04-05
65,Meeting Room B218,2015-03-30,2015-04-05
66,Meeting Room B301,2015-03-30,2015-04-05
67,Meeting Room B302,2015-03-30,2015-04-05
68,Meeting Room B303,2015-03-30,2015-04-05
69,Meeting Room B304,2015-03-30,2015-04-05
70,Meeting Room B305,2015-03-30,2015-04-05
71,Meeting Room B306,2015-03-30,2015-04-05
72,Meeting Room B307,2015-03-30,2015-04-05
73,Meeting Room B308,2015-03-30,2015-04-05
74,Meeting Room B309,2015-03-30,2015-04-05
75,Meeting Room B310,2015-03-30,2015-04-05
76,Meeting Room B311,2015-03-30,2015-04-05
77,Meeting Room B312,2015-03-30,2015-04-05
78,Meeting Room B313,2015-03-30,2015-04-05
81,Meeting Room B314,2015-03-30,2015-04-05
82,Meeting Room B315,2015-03-30,2015-04-05
83,Meeting Room B316,2015-03-30,2015-04-05
84,Meeting Room B317,2015-03-30,2015-04-05
85,Meeting Room B318,2015-03-30,2015-04-05
86,Meeting Room B319,2015-03-30,2015-04-05
89,Meeting Room B401,2015-03-30,2015-04-05
90,Meeting Room B402,2015-03-30,2015-04-05
91,Meeting Room B403,2015-03-30,2015-04-05
92,Meeting Room B404,2015-03-30,2015-04-05
93,Meeting Room B405,2015-03-30,2015-04-05
94,Meeting Room B406,2015-03-30,2015-04-05
97,Meeting Room B407,2015-03-30,2015-04-05
98,Meeting Room B408,2015-03-30,2015-04-05
99,Meeting Room B409,2015-03-30,2015-04-05
100,Meeting Room B411,2015-03-30,2015-04-05
114,Meeting Room C103,2015-03-30,2015-04-05
115,Meeting Room C104,2015-03-30,2015-04-05
116,Meeting Room C105,2015-03-30,2015-04-05
117,Meeting Room C106,2015-03-30,2015-04-05
118,Meeting Room C107,2015-03-30,2015-04-05
119,Meeting Room C108,2015-03-30,2015-04-05
120,Meeting Room C109,2015-03-30,2015-04-05
121,Meeting Room C110,2015-03-30,2015-04-05
124,Meeting Room C201,2015-03-30,2015-04-05
125,Meeting Room C202,2015-03-30,2015-04-05
126,Meeting Room C203,2015-03-30,2015-04-05
127,Meeting Room C204,2015-03-30,2015-04-05
128,Meeting Room C205,2015-03-30,2015-04-05
129,Meeting Room C206,2015-03-30,2015-04-05
130,Meeting Room C207,2015-03-30,2015-04-05
131,Meeting Room C208,2015-03-30,2015-04-05
132,Meeting Room C209,2015-03-30,2015-04-05
133,Meeting Room C210,2015-03-30,2015-04-05
134,Meeting Room C211,2015-03-30,2015-04-05
135,Meeting Room C212,2015-03-30,2015-04-05
136,Meeting Room C213,2015-03-30,2015-04-05
140,Meeting Room C301,2015-03-30,2015-04-05
141,Meeting Room C302,2015-03-30,2015-04-05
122,Room C101 Auditorium,2015-03-30,2015-04-05
123,Room C102 Auditorium,2015-03-30,2015-04-05
109,Exhibit Hall C4,2015-07-23,2015-07-26
106,Exhibit Hall C1,2015-07-23,2015-07-26
107,Exhibit Hall C2,2015-07-23,2015-07-26
108,Exhibit Hall C3,2015-07-23,2015-07-26
114,Meeting Room C103,2015-07-23,2015-07-26
115,Meeting Room C104,2015-07-23,2015-07-26
116,Meeting Room C105,2015-07-23,2015-07-26
117,Meeting Room C106,2015-07-23,2015-07-26
118,Meeting Room C107,2015-07-23,2015-07-26
119,Meeting Room C108,2015-07-23,2015-07-26
120,Meeting Room C109,2015-07-23,2015-07-26
121,Meeting Room C110,2015-07-23,2015-07-26
106,Exhibit Hall C1,2015-09-03,2015-09-07
107,Exhibit Hall C2,2015-09-03,2015-09-07
137,Georgia Ballroom 1,2015-09-03,2015-09-07
138,Georgia Ballroom 2,2015-09-03,2015-09-07
139,Georgia Ballroom 3,2015-09-03,2015-09-07
114,Meeting Room C103,2015-09-03,2015-09-07
115,Meeting Room C104,2015-09-03,2015-09-07
116,Meeting Room C105,2015-09-03,2015-09-07
116,Meeting Room C105,2015-09-03,2015-09-07
117,Meeting Room C106,2015-09-03,2015-09-07
117,Meeting Room C106,2015-09-03,2015-09-07
118,Meeting Room C107,2015-09-03,2015-09-07
119,Meeting Room C108,2015-09-03,2015-09-07
119,Meeting Room C108,2015-09-03,2015-09-07
120,Meeting Room C109,2015-09-03,2015-09-07
120,Meeting Room C109,2015-09-03,2015-09-07
121,Meeting Room C110,2015-09-03,2015-09-07
124,Meeting Room C201,2015-09-03,2015-09-07
125,Meeting Room C202,2015-09-03,2015-09-07
126,Meeting Room C203,2015-09-03,2015-09-07
127,Meeting Room C204,2015-09-03,2015-09-07
128,Meeting Room C205,2015-09-03,2015-09-07
129,Meeting Room C206,2015-09-03,2015-09-07
130,Meeting Room C207,2015-09-03,2015-09-07
131,Meeting Room C208,2015-09-03,2015-09-07
131,Meeting Room C208,2015-09-03,2015-09-07
132,Meeting Room C209,2015-09-03,2015-09-07
131,Meeting Room C208,2015-09-03,2015-09-07
132,Meeting Room C209,2015-09-03,2015-09-07
133,Meeting Room C210,2015-09-03,2015-09-07
132,Meeting Room C209,2015-09-03,2015-09-07
132,Meeting Room C209,2015-09-03,2015-09-07
133,Meeting Room C210,2015-09-03,2015-09-07
133,Meeting Room C210,2015-09-03,2015-09-07
134,Meeting Room C211,2015-09-03,2015-09-07
134,Meeting Room C211,2015-09-03,2015-09-07
135,Meeting Room C212,2015-09-03,2015-09-07
134,Meeting Room C211,2015-09-03,2015-09-07
136,Meeting Room C213,2015-09-03,2015-09-07
135,Meeting Room C212,2015-09-03,2015-09-07
135,Meeting Room C212,2015-09-03,2015-09-07
136,Meeting Room C213,2015-09-03,2015-09-07
136,Meeting Room C213,2015-09-03,2015-09-07
140,Meeting Room C301,2015-09-03,2015-09-07
141,Meeting Room C302,2015-09-03,2015-09-07
0,Exhibit Hall A1,2015-12-28,2015-12-29
24,Building A-B Registration Hall,2016-01-20,2016-01-31
25,Executive Boardroom,2016-01-20,2016-01-31
0,Exhibit Hall A1,2016-01-20,2016-01-31
0,Exhibit Hall A1,2016-01-20,2016-01-31
1,Exhibit Hall A2,2016-01-20,2016-01-31
2,Exhibit Hall A3,2016-01-20,2016-01-31
1,Exhibit Hall A2,2016-01-20,2016-01-31
2,Exhibit Hall A3,2016-01-20,2016-01-31
40,Exhibit Hall B1,2016-01-20,2016-01-31
41,Exhibit Hall B2,2016-01-20,2016-01-31
42,Exhibit Hall B3,2016-01-20,2016-01-31
43,Exhibit Hall B4,2016-01-20,2016-01-31
44,Exhibit Hall B5,2016-01-20,2016-01-31
6,Meeting Room A301,2016-01-20,2016-01-31
7,Meeting Room A302,2016-01-20,2016-01-31
8,Meeting Room A303,2016-01-20,2016-01-31
9,Meeting Room A304,2016-01-20,2016-01-31
10,Meeting Room A305,2016-01-20,2016-01-31
11,Meeting Room A306,2016-01-20,2016-01-31
12,Meeting Room A307,2016-01-20,2016-01-31
13,Meeting Room A308a,2016-01-20,2016-01-31
14,Meeting Room A308b,2016-01-20,2016-01-31
15,Meeting Room A309,2016-01-20,2016-01-31
16,Meeting Room A310,2016-01-20,2016-01-31
17,Meeting Room A311,2016-01-20,2016-01-31
18,Meeting Room A312,2016-01-20,2016-01-31
19,Meeting Room A313,2016-01-20,2016-01-31
20,Meeting Room A314,2016-01-20,2016-01-31
21,Meeting Room A315,2016-01-20,2016-01-31
22,Meeting Room A316,2016-01-20,2016-01-31
26,Meeting Room A401,2016-01-20,2016-01-31
27,Meeting Room A402,2016-01-20,2016-01-31
28,Meeting Room A403,2016-01-20,2016-01-31
29,Meeting Room A404,2016-01-20,2016-01-31
30,Meeting Room A405,2016-01-20,2016-01-31
31,Meeting Room A406,2016-01-20,2016-01-31
32,Meeting Room A407,2016-01-20,2016-01-31
33,Meeting Room A408,2016-01-20,2016-01-31
34,Meeting Room A409,2016-01-20,2016-01-31
35,Meeting Room A410,2016-01-20,2016-01-31
36,Meeting Room A411,2016-01-20,2016-01-31
37,Meeting Room A412,2016-01-20,2016-01-31
48,Meeting Room B201,2016-01-20,2016-01-31
49,Meeting Room B202,2016-01-20,2016-01-31
50,Meeting Room B203,2016-01-20,2016-01-31
51,Meeting Room B204,2016-01-20,2016-01-31
52,Meeting Room B205,2016-01-20,2016-01-31
53,Meeting Room B206,2016-01-20,2016-01-31
54,Meeting Room B207,2016-01-20,2016-01-31
55,Meeting Room B208,2016-01-20,2016-01-31
56,Meeting Room B209,2016-01-20,2016-01-31
57,Meeting Room B210,2016-01-20,2016-01-31
58,Meeting Room B211,2016-01-20,2016-01-31
59,Meeting Room B212,2016-01-20,2016-01-31
60,Meeting Room B213,2016-01-20,2016-01-31
61,Meeting Room B214,2016-01-20,2016-01-31
62,Meeting Room B215,2016-01-20,2016-01-31
63,Meeting Room B216,2016-01-20,2016-01-31
64,Meeting Room B217,2016-01-20,2016-01-31
65,Meeting Room B218,2016-01-20,2016-01-31
66,Meeting Room B301,2016-01-20,2016-01-31
67,Meeting Room B302,2016-01-20,2016-01-31
68,Meeting Room B303,2016-01-20,2016-01-31
69,Meeting Room B304,2016-01-20,2016-01-31
70,Meeting Room B305,2016-01-20,2016-01-31
71,Meeting Room B306,2016-01-20,2016-01-31
72,Meeting Room B307,2016-01-20,2016-01-31
73,Meeting Room B308,2016-01-20,2016-01-31
74,Meeting Room B309,2016-01-20,2016-01-31
75,Meeting Room B310,2016-01-20,2016-01-31
76,Meeting Room B311,2016-01-20,2016-01-31
77,Meeting Room B312,2016-01-20,2016-01-31
78,Meeting Room B313,2016-01-20,2016-01-31
81,Meeting Room B314,2016-01-20,2016-01-31
82,Meeting Room B315,2016-01-20,2016-01-31
83,Meeting Room B316,2016-01-20,2016-01-31
84,Meeting Room B317,2016-01-20,2016-01-31
85,Meeting Room B318,2016-01-20,2016-01-31
86,Meeting Room B319,2016-01-20,2016-01-31
89,Meeting Room B401,2016-01-20,2016-01-31
90,Meeting Room B402,2016-01-20,2016-01-31
91,Meeting Room B403,2016-01-20,2016-01-31
92,Meeting Room B404,2016-01-20,2016-01-31
93,Meeting Room B405,2016-01-20,2016-01-31
94,Meeting Room B406,2016-01-20,2016-01-31
97,Meeting Room B407,2016-01-20,2016-01-31
98,Meeting Room B408,2016-01-20,2016-01-31
99,Meeting Room B409,2016-01-20,2016-01-31
100,Meeting Room B411,2016-01-20,2016-01-31
102,Thomas Murphy Ballroom 1,2016-01-20,2016-01-31
103,Thomas Murphy Ballroom 2,2016-01-20,2016-01-31
104,Thomas Murphy Ballroom 3,2016-01-20,2016-01-31
105,Thomas Murphy Ballroom 4,2016-01-20,2016-01-31
137,Georgia Ballroom 1,2016-01-27,2016-01-31
138,Georgia Ballroom 2,2016-01-27,2016-01-31
139,Georgia Ballroom 3,2016-01-27,2016-01-31
89,Meeting Room B401,2016-01-27,2016-01-31
90,Meeting Room B402,2016-01-27,2016-01-31
102,Thomas Murphy Ballroom 1,2016-01-27,2016-01-31
103,Thomas Murphy Ballroom 2,2016-01-27,2016-01-31
104,Thomas Murphy Ballroom 3,2016-01-27,2016-01-31
105,Thomas Murphy Ballroom 4,2016-01-27,2016-01-31
24,Building A-B Registration Hall,2016-02-09,2016-02-15
0,Exhibit Hall A1,2016-02-09,2016-02-15
1,Exhibit Hall A2,2016-02-09,2016-02-15
2,Exhibit Hall A3,2016-02-09,2016-02-15
40,Exhibit Hall B1,2016-02-09,2016-02-15
41,Exhibit Hall B2,2016-02-09,2016-02-15
42,Exhibit Hall B3,2016-02-09,2016-02-15
43,Exhibit Hall B4,2016-02-09,2016-02-15
44,Exhibit Hall B5,2016-02-09,2016-02-15
106,Exhibit Hall C1,2016-02-09,2016-02-15
107,Exhibit Hall C2,2016-02-09,2016-02-15
108,Exhibit Hall C3,2016-02-09,2016-02-15
109,Exhibit Hall C4,2016-02-09,2016-02-15
137,Georgia Ballroom 1,2016-02-09,2016-02-15
138,Georgia Ballroom 2,2016-02-09,2016-02-15
139,Georgia Ballroom 3,2016-02-09,2016-02-15
8,Meeting Room A303,2016-02-09,2016-02-15
9,Meeting Room A304,2016-02-09,2016-02-15
11,Meeting Room A306,2016-02-09,2016-02-15
13,Meeting Room A308a,2016-02-09,2016-02-15
14,Meeting Room A308b,2016-02-09,2016-02-15
15,Meeting Room A309,2016-02-09,2016-02-15
16,Meeting Room A310,2016-02-09,2016-02-15
21,Meeting Room A315,2016-02-09,2016-02-15
22,Meeting Room A316,2016-02-09,2016-02-15
26,Meeting Room A401,2016-02-09,2016-02-15
27,Meeting Room A402,2016-02-09,2016-02-15
28,Meeting Room A403,2016-02-09,2016-02-15
29,Meeting Room A404,2016-02-09,2016-02-15
30,Meeting Room A405,2016-02-09,2016-02-15
31,Meeting Room A406,2016-02-09,2016-02-15
32,Meeting Room A407,2016-02-09,2016-02-15
33,Meeting Room A408,2016-02-09,2016-02-15
34,Meeting Room A409,2016-02-09,2016-02-15
35,Meeting Room A410,2016-02-09,2016-02-15
36,Meeting Room A411,2016-02-09,2016-02-15
37,Meeting Room A412,2016-02-09,2016-02-15
48,Meeting Room B201,2016-02-09,2016-02-15
49,Meeting Room B202,2016-02-09,2016-02-15
50,Meeting Room B203,2016-02-09,2016-02-15
51,Meeting Room B204,2016-02-09,2016-02-15
52,Meeting Room B205,2016-02-09,2016-02-15
53,Meeting Room B206,2016-02-09,2016-02-15
54,Meeting Room B207,2016-02-09,2016-02-15
55,Meeting Room B208,2016-02-09,2016-02-15
56,Meeting Room B209,2016-02-09,2016-02-15
57,Meeting Room B210,2016-02-09,2016-02-15
58,Meeting Room B211,2016-02-09,2016-02-15
59,Meeting Room B212,2016-02-09,2016-02-15
60,Meeting Room B213,2016-02-09,2016-02-15
61,Meeting Room B214,2016-02-09,2016-02-15
62,Meeting Room B215,2016-02-09,2016-02-15
63,Meeting Room B216,2016-02-09,2016-02-15
64,Meeting Room B217,2016-02-09,2016-02-15
65,Meeting Room B218,2016-02-09,2016-02-15
66,Meeting Room B301,2016-02-09,2016-02-15
67,Meeting Room B302,2016-02-09,2016-02-15
68,Meeting Room B303,2016-02-09,2016-02-15
69,Meeting Room B304,2016-02-09,2016-02-15
70,Meeting Room B305,2016-02-09,2016-02-15
71,Meeting Room B306,2016-02-09,2016-02-15
72,Meeting Room B307,2016-02-09,2016-02-15
73,Meeting Room B308,2016-02-09,2016-02-15
74,Meeting Room B309,2016-02-09,2016-02-15
75,Meeting Room B310,2016-02-09,2016-02-15
76,Meeting Room B311,2016-02-09,2016-02-15
77,Meeting Room B312,2016-02-09,2016-02-15
78,Meeting Room B313,2016-02-09,2016-02-15
81,Meeting Room B314,2016-02-09,2016-02-15
82,Meeting Room B315,2016-02-09,2016-02-15
83,Meeting Room B316,2016-02-09,2016-02-15
84,Meeting Room B317,2016-02-09,2016-02-15
85,Meeting Room B318,2016-02-09,2016-02-15
86,Meeting Room B319,2016-02-09,2016-02-15
89,Meeting Room B401,2016-02-09,2016-02-15
90,Meeting Room B402,2016-02-09,2016-02-15
91,Meeting Room B403,2016-02-09,2016-02-15
92,Meeting Room B404,2016-02-09,2016-02-15
93,Meeting Room B405,2016-02-09,2016-02-15
94,Meeting Room B406,2016-02-09,2016-02-15
97,Meeting Room B407,2016-02-09,2016-02-15
98,Meeting Room B408,2016-02-09,2016-02-15
99,Meeting Room B409,2016-02-09,2016-02-15
100,Meeting Room B411,2016-02-09,2016-02-15
114,Meeting Room C103,2016-02-09,2016-02-15
115,Meeting Room C104,2016-02-09,2016-02-15
116,Meeting Room C105,2016-02-09,2016-02-15
117,Meeting Room C106,2016-02-09,2016-02-15
118,Meeting Room C107,2016-02-09,2016-02-15
119,Meeting Room C108,2016-02-09,2016-02-15
120,Meeting Room C109,2016-02-09,2016-02-15
121,Meeting Room C110,2016-02-09,2016-02-15
124,Meeting Room C201,2016-02-09,2016-02-15
125,Meeting Room C202,2016-02-09,2016-02-15
126,Meeting Room C203,2016-02-09,2016-02-15
127,Meeting Room C204,2016-02-09,2016-02-15
128,Meeting Room C205,2016-02-09,2016-02-15
129,Meeting Room C206,2016-02-09,2016-02-15
130,Meeting Room C207,2016-02-09,2016-02-15
131,Meeting Room C208,2016-02-09,2016-02-15
132,Meeting Room C209,2016-02-09,2016-02-15
133,Meeting Room C210,2016-02-09,2016-02-15
134,Meeting Room C211,2016-02-09,2016-02-15
135,Meeting Room C212,2016-02-09,2016-02-15
136,Meeting Room C213,2016-02-09,2016-02-15
140,Meeting Room C301,2016-02-09,2016-02-15
141,Meeting Room C302,2016-02-09,2016-02-15
123,Room C102 Auditorium,2016-02-09,2016-02-15
102,Thomas Murphy Ballroom 1,2016-02-09,2016-02-15
103,Thomas Murphy Ballroom 2,2016-02-09,2016-02-15
104,Thomas Murphy Ballroom 3,2016-02-09,2016-02-15
105,Thomas Murphy Ballroom 4,2016-02-09,2016-02-15
109,Exhibit Hall C4,2016-02-16,2016-02-23
106,Exhibit Hall C1,2016-02-16,2016-02-23
107,Exhibit Hall C2,2016-02-16,2016-02-23
108,Exhibit Hall C3,2016-02-16,2016-02-23
