RoomID,Name,Sqft,Cost,Building,Floor,X,Y
97,Meeting Room B407,3514,48.84,200,90,9.5,6
98,Meeting Room B408,2178,128.41,200,90,10,6
99,Meeting Room B409,2178,82.75,200,90,11,6
100,Meeting Room B411,460,51.9,200,90,4,4
101,Authority Boardroom,1893,14333.93,200,90,3,10
102,Thomas Murphy Ballroom 1,8260,293.31,200,120,1,1
103,Thomas Murphy Ballroom 2,8568,288.25,200,120,2,1
104,Thomas Murphy Ballroom 3,8586,284.43,200,120,3,1
105,Thomas Murphy Ballroom 4,8260,295.94,200,120,4,1
106,Exhibit Hall C1,103000,2193.21,260,0,2,1
107,Exhibit Hall C2,106000,2483.27,260,0,3,1
108,Exhibit Hall C3,105500,2206.18,260,0,4,1
109,Exhibit Hall C4,91100,1923.31,260,0,5,1
110,Exhibit Hall Meeting Room C111,5138,84.1,260,0,2,8
111,Exhibit Hall Meeting Room C112,5833,92.82,260,0,2,6
112,Exhibit Hall Meeting Room C113,4622,76.43,260,0,2,4
113,Exhibit Hall Meeting Room C114,4138,68.63,260,0,2,2
114,Meeting Room C103,1360,6.66,260,0,1,9
115,Meeting Room C104,1164,29.07,260,0,1,8
116,Meeting Room C105,1781,27.09,260,0,1,7
117,Meeting Room C106,1779,83.15,260,0,1,6
118,Meeting Room C107,2391,37.85,260,0,1,5
119,Meeting Room C108,1779,58.8,260,0,1,4
120,Meeting Room C109,1719,83.7,260,0,1,3
121,Meeting Room C110,2328,38.71,260,0,1,2
122,Room C101 Auditorium,5163,119.15,260,0,1,12
123,Room C102 Auditorium,2420,45.27,260,0,2,11
124,Meeting Room C201,2342,50.4,260,30,1,7
125,Meeting Room C202,1610,124.52,260,30,1,6
126,Meeting Room C203,2105,465.15,260,30,1,5
127,Meeting Room C204,1610,247.87,260,30,1,4
128,Meeting Room C205,2344,393.86,260,30,1,3
129,Meeting Room C206,2614,112.86,260,30,1,1
130,Meeting Room C207,1592,254.76,260,30,2,1
131,Meeting Room C208,1430,157.87,260,30,3,1
132,Meeting Room C209,1488,136.02,260,30,4,1
133,Meeting Room C210,1430,78.65,260,30,5,1
134,Meeting Room C211,1430,75.98,260,30,6,1
135,Meeting Room C212,1488,51.94,260,30,7,1
136,Meeting Room C213,1430,32.14,260,30,8,1
137,Georgia Ballroom 1,7685,439.49,260,60,1,3
138,Georgia Ballroom 2,10378,626.76,260,60,1,2
139,Georgia Ballroom 3,7685,471.15,260,60,1,1
140,Meeting Room C301,2288,181.93,260,60,2,5
141,Meeting Room C302,3275,245.18,260,60,3,6
142,Meeting Room A308,940,25.89,0,60,9.5,4
143,Exhibit Hall BC,85300,1640,260,0,5,0
